id,scrape_id,last_scraped,host_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
42060648,2.02008E+13,21/8/20,104431444,f,99,99,"Hawthorn, Victoria, Australia",Boroondara,-37.82997,145.02913,Entire home/apt,8,4,4,$120.00 ,4,1125,42,5,5,0,27/2/20,13/7/20,68,7,6,9,8,10,8,f,28,0.85
42068464,2.02008E+13,22/8/20,39089954,f,1,1,,Cardinia,-37.954,145.55262,Private room,2,1,1,$180.00 ,1,14,339,2,2,0,22/2/20,7/3/20,90,10,9,10,10,10,9,t,3,0.33
42070041,2.02008E+13,21/8/20,237701374,f,8,8,"Bundoora, Victoria, Australia",Whittlesea,-37.69024,145.05933,Private room,2,1,1,$26.00 ,1,1125,365,4,4,0,15/2/20,3/3/20,60,6,6,8,7,7,6,t,7,0.63
42071098,2.02008E+13,21/8/20,5457367,f,0,0,,Monash,-37.87363,145.15088,Entire home/apt,4,3,4,$120.00 ,5,1125,365,1,1,0,30/3/20,30/3/20,100,10,10,10,10,10,10,t,2,0.21
42072848,2.02008E+13,21/8/20,21160176,f,0,0,"Manor Lakes, Victoria, Australia",Wyndham,-37.86191,144.59325,Private room,2,1,1,$30.00 ,1,14,56,0,0,0,,,,,,,,,,f,1,
42074614,2.02008E+13,21/8/20,94759771,f,0,0,"Ashwood, Victoria, Australia",Monash,-37.87344,145.10216,Private room,2,1,1,$55.00 ,1,1125,180,1,1,0,25/2/20,25/2/20,100,10,10,10,10,10,10,f,1,0.17
42076166,2.02008E+13,20/8/20,32178752,f,0,0,,Yarra,-37.78611,145.02153,Entire home/apt,2,1,1,$50.00 ,35,1125,0,0,0,0,,,,,,,,,,f,1,
42076537,2.02008E+13,21/8/20,14183381,f,1,1,,Frankston,-38.10588,145.1455,Private room,2,1,1,$50.00 ,1,365,180,3,3,0,1/3/20,9/3/20,100,10,10,10,10,10,10,f,1,0.52
42076653,2.02008E+13,20/8/20,318873639,f,10,10,"Melbourne, Victoria, Australia",Melbourne,-37.81687,144.96703,Shared room,1,1,1,$25.00 ,1,1125,340,0,0,0,,,,,,,,,,t,10,
42076723,2.02008E+13,20/8/20,321372002,f,1,1,"Brighton East, Victoria, Australia",Bayside,-37.91899,145.01535,Private room,2,1,1,$120.00 ,1,1125,0,0,0,0,,,,,,,,,,f,1,
42076992,2.02008E+13,21/8/20,217207909,t,0,0,"Healesville, Victoria, Australia",Yarra Ranges,-37.65598,145.52881,Entire home/apt,2,1,1,$104.00 ,1,1125,131,23,23,0,15/2/20,7/7/20,99,10,10,10,10,10,10,f,1,3.65
42077821,2.02008E+13,22/8/20,234904094,f,5,5,"Melbourne, Victoria, Australia",Melbourne,-37.81344,144.96198,Entire home/apt,6,2,4,$255.00 ,3,1125,0,0,0,0,,,,,,,,,,t,5,
42077893,2.02008E+13,21/8/20,331298729,f,2,2,"Port Melbourne, Victoria, Australia",Port Phillip,-37.84134,144.93992,Shared room,1,1,1,$35.00 ,3,15,90,3,3,0,23/2/20,31/3/20,100,10,10,10,10,10,10,f,1,0.5
42079874,2.02008E+13,20/8/20,31827777,f,1,1,,Melbourne,-37.81057,144.94945,Private room,2,1,2,$110.00 ,1,28,231,3,3,0,15/2/20,21/3/20,100,9,10,8,10,10,10,f,1,0.48
42080401,2.02008E+13,23/8/20,9235459,f,1,1,,Port Phillip,-37.83945,144.96104,Private room,1,1,1,$145.00 ,1,1125,0,0,0,0,,,,,,,,,,t,2,
42081190,2.02008E+13,21/8/20,9235459,f,1,1,"South Melbourne, Victoria, Australia",Port Phillip,-37.84007,144.96016,Private room,1,1,1,$145.00 ,1,1125,89,1,1,0,26/2/20,26/2/20,100,10,10,10,10,10,10,f,2,0.17
42081893,2.02008E+13,20/8/20,24128380,f,1,1,"West Melbourne, Victoria, Australia",Melbourne,-37.80866,144.95167,Private room,1,1,,$99.00 ,2,1125,180,0,0,0,,,,,,,,,,t,1,
42081931,2.02008E+13,20/8/20,193209712,f,1,1,"Melbourne, Victoria, Australia",Port Phillip,-37.8532,144.98071,Entire home/apt,3,1,1,$120.00 ,1,1125,0,2,2,0,13/3/20,14/3/20,100,10,10,9,10,10,9,t,1,0.37
42082622,2.02008E+13,21/8/20,106241773,f,4,4,"Clyde North, Victoria, Australia",Casey,-38.07804,145.35883,Entire home/apt,8,4,4,$165.00 ,1,1125,365,1,1,0,13/2/20,13/2/20,100,10,10,10,10,10,10,f,3,0.16
42083235,2.02008E+13,21/8/20,110138961,f,5,5,"North Melbourne, Victoria, Australia",Melbourne,-37.79882,144.95319,Entire home/apt,5,2,3,$61.00 ,1,1125,79,4,4,0,29/2/20,4/7/20,90,9,10,10,9,10,9,f,4,0.69
42097002,2.02008E+13,21/8/20,193368830,f,50,50,"Melbourne, Victoria, Australia",Melbourne,-37.84136,144.97747,Entire home/apt,5,2,3,$75.00 ,30,1125,42,2,2,0,8/3/20,15/3/20,100,10,10,10,10,10,10,t,39,0.36
42097961,2.02008E+13,23/8/20,284150320,f,2,2,,Monash,-37.89599,145.09835,Private room,2,1,1,$38.00 ,7,1125,365,1,1,0,14/2/20,14/2/20,60,10,8,10,6,10,8,t,2,0.16
42099054,2.02008E+13,21/8/20,263419140,f,0,0,"Camberwell, Victoria, Australia",Boroondara,-37.84136,145.09634,Entire home/apt,4,2,2,$135.00 ,1,1125,2,2,2,0,10/3/20,16/3/20,100,10,10,9,9,10,10,f,1,0.36
42099722,2.02008E+13,21/8/20,286409,f,2,2,"Glen Iris, Victoria, Australia",Stonnington,-37.85561,145.05056,Private room,2,1,1,$55.00 ,2,1125,46,2,2,0,13/3/20,17/3/20,100,10,10,10,10,10,9,f,1,0.37
42101073,2.02008E+13,21/8/20,160004102,t,2,2,"Flemington, Victoria, Australia",Moonee Valley,-37.78588,144.92854,Entire home/apt,10,3,4,$211.00 ,1,365,251,5,5,0,7/5/20,20/6/20,100,10,9,10,10,10,10,f,6,1.4
42101213,2.02008E+13,21/8/20,333906333,f,0,0,,Glen Eira,-37.88187,145.02386,Entire home/apt,5,2,4,$600.00 ,2,1125,365,0,0,0,,,,,,,,,,t,35,
42101220,2.02008E+13,20/8/20,80579743,f,3,3,"Saint Kilda West, Victoria, Australia",Port Phillip,-37.85779,144.97259,Entire home/apt,4,2,2,$120.00 ,2,1125,78,0,0,0,,,,,,,,,,f,3,
42101304,2.02008E+13,20/8/20,333906333,f,0,0,,Moreland,-37.77826,144.97804,Entire home/apt,6,2,5,$600.00 ,2,1125,365,0,0,0,,,,,,,,,,t,35,
42101349,2.02008E+13,21/8/20,333906333,f,0,0,,Glen Eira,-37.8901,145.0503,Entire home/apt,6,2,5,$600.00 ,2,1125,365,0,0,0,,,,,,,,,,t,35,
42101423,2.02008E+13,21/8/20,333906333,f,0,0,,Kingston,-37.93149,145.1346,Entire home/apt,8,3,7,$600.00 ,2,1125,365,0,0,0,,,,,,,,,,t,35,
