id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21601242,BRAND NEW Two-bedroom Apartment with Views,144530452,Holly,,Melbourne,-37.81466,144.95593,Entire home/apt,300,365,14,2018-10-27,0.42,1,0
21601394,Bayside Room,24339709,Natasha,,Bayside,-37.88571,144.99747,Private room,63,2,19,2020-03-16,0.56,1,0
21601486,Waterfront Retreat,36561777,Tina Frank,,Kingston,-38.07405,145.14059,Entire home/apt,315,2,27,2020-06-06,0.80,1,174
21610003,Radiant Restored Richmond Warehouse with Comfortable Study,383654,John,,Yarra,-37.82223,144.99076,Entire home/apt,123,2,118,2020-08-14,3.49,1,321
21610828,Dmitry's Dixon Domain,157201031,Dmitry,,Monash,-37.91855,145.12322,Entire home/apt,125,1,64,2020-07-22,1.91,6,361
21611210,Sunny Warehouse Studio with NYC Vibe near Swan Street,16694939,Wayne,,Yarra,-37.82322,144.99204,Entire home/apt,139,2,192,2020-03-27,5.69,1,0
21611995,level 66 super sea view apartment-Lighthouse,103467252,Candice,,Melbourne,-37.80863,144.96155,Entire home/apt,149,30,50,2020-01-24,1.55,4,172
21612258,Modern three bedroom house in heart of Balwyn,157216573,Jenny,,Boroondara,-37.78947,145.09166,Entire home/apt,120,1,0,,,1,0
21612379,Riverside on Collins  2 Bedroom Apartment,43638330,Lilly,,Melbourne,-37.82039,144.94047,Entire home/apt,132,7,0,,,9,180
21612428,MONASH UNIVERSITY RIGHT ACROSS THE ROAD,6317382,Debbie,,Stonnington,-37.87677,145.04675,Private room,50,1,15,2019-12-12,0.49,1,355
21612744,Splendid Southbank–A City Location By the River!,157220845,David & Sue,,Melbourne,-37.82169,144.96337,Entire home/apt,300,3,46,2019-06-10,1.40,1,0
21613250,墨尔本大学旁温馨整洁的大卧室（靠近市中心）,94777289,Jiatong,,Melbourne,-37.80225,144.96434,Private room,61,3,6,2018-02-16,0.18,1,0
21615205,Across the road from the train station,52916537,Troy,,Maribyrnong,-37.81645,144.89062,Private room,52,1,38,2020-02-28,1.14,2,0
21615402,Lovely room with city view,66726356,Wendy,,Melbourne,-37.80111,144.95639,Private room,65,1,91,2020-03-07,2.75,1,0
21616125,HEART of CBD WITH 2 ROOMS on FLINDERS,129362064,Abby,,Melbourne,-37.81825,144.96528,Entire home/apt,84,2,78,2020-03-06,2.33,1,139
21616535,"CAMPUS apartment, close to Monash University",157249566,Keyu,,Monash,-37.90443,145.12676,Private room,80,1,0,,,1,0
21616660,El Porto de Melbourne,144815229,Jennifer,,Port Phillip,-37.84299,144.93931,Entire home/apt,496,1,0,,,1,365
21616921,Luxury in Yarraville 10 min to Melbourne CBD,61977735,Jan & Wayne,,Maribyrnong,-37.81841,144.887,Entire home/apt,160,2,21,2019-04-14,0.65,1,173
